,responce,question
28807,@124030 We just checked and it's there in bright blue with a hyperlink that says Basic Economy. You can't miss it Sean!,@AmericanAir They are actually not. Even your own agent (Angel Torerro) at the gate couldn’t find it. His response was ‘well if you would’ve booked it through https://t.co/8pwu2ECBlH then you would’ve been prompted’. WTH? As a gold status traveler I’m deeply disappointed.
28810,@124031 We know it's important to get you where you need to be. We're truly sorry for the change to your plans.,@AmericanAir It has happened every time I’ve flown with them
28814,"@124032 We're so glad to be your airline, Ross! Thanks for your loyalty.",Starting off what I hope will be an AAmazing day with the team at @AmericanAir ... thanks for always making travel easier !
28816,@124033 When booking through our site there are several prompts when purchasing Basic Economy. https://t.co/MKvFFVWJdz,@AmericanAir @2189 $50 to check a bag is robbery when your rules never state you must check carry on bags at counter. I want a refund. #robbery
28818,@124034 You have lots of room to stretch out. Enjoy!,"For those of you who know, I’m kinda tall. So the exit row on this @AmericanAir flight was very welcomed. #flyerlife https://t.co/yWBVZlafQ2"
28820,@124035 This isn't how we planned to start your birthday celebration. We're working hard to get you going soon. Thanks for your patience.,Starting my 40th birthday trip to #maui and I'm #delAAyed on @AmericanAir flight 7 b/c of maintenance issues
29376,@124196 There will be more info provided soon. We're very sorry for the delay today.,Always nice to see the engine housing open 35 minutes after scheduled departure. Thumbs up @AmericanAir...on a plane that was here all night https://t.co/yx4vBxJDF1
29378,@124197 Everything is up and running. What error message are you getting?,Is there a problem with web- check in? @AmericanAir
29381,@124198 We're so sorry that the seat was broken. Did you inform our flight crew for a possible seat change?,Have an injured back and get a window seat to sleep and @AmericanAir provides me a broken seat. Now ill have a nice uncomfortable flight. https://t.co/GgEe04CikB
29383,@124198 Please follow and share your record locator with us in DMs and we'll be sure to pass this along to our Maintenance team.,@AmericanAir Flight was booked and no seat change was available
29385,@124199 We see your tweets and we'll review and respond back in DMs.,@AmericanAir I wish you all had a click to chat function on your website.
29387,@124200 We do our best to keep you in the loop and apologize for your delay and lack of communication. We should be airborne soon!,@AmericanAir flight 2266 to Miami: how does a firts officer get lost and after 4 hours still be on the ground with no updates?🤦🏻‍♀️😲
29389,@124201 We'll be departing real soon. Thanks for hanging in there.,@AmericanAir been delayed 3+ hours @124202 on AA flight 2266 because 1st officer missing. Hope they give miles or compensation.
29392,"@124203 We're sorry to hear that has been your experience, Alanna. Please let us know if we can help in some way.",@AmericanAir I am really disappointed with your customer service. My flight at LaGuardia Airport was very hectic today
29885,"@124347 We'll have you on your way ASAP, what's your flight number?",@AmericanAir no gate agent at Gate 49A at LAX and we are supposed to board in 7 minutes. Pilots &amp; crew here. #wherestheagent
29887,@124348 We love hearing that Michelle is really knocking it out of the park today and taking excellent care of everyone. #AATeam,@AmericanAir currently on ✈️ AA4683 from XNA to LGA. Flight Attendant Michelle is one of your best #positive #friendly #pleasant experience
29889,@124348 We sure will!,@AmericanAir Please recognize her. She is amazing!
29891,@122514 Welcome to Dallas! Come fly with us again soon.,Landed in Dallas. #ArchFlys. Smooth flight @AmericanAir
29893,"@124349 Andres, we know your time is valuable and we're so sorry for the late start this morning.",@AmericanAir shame on you! LGA&gt;MIA 3 Hours delay because a pilot didn’t show up? And I was offered $50 dolars Boucher? 😡#americanairlines
29895,@124350 We're happy to fly you to Bean Town in style! Have an amazing time.,On my way to Bean Town riding @AmericanAir coach plus #likeaboss. https://t.co/9X9yGGaEiv
29897,@124351 We know your time is valuable and apologize for the delay. We're finishing up preparing for departure and will be airborne soon!,DFW =&gt; SEA. Issues fueling the aircraft. Delay 40 min and counting. @AmericanAir
30384,"@124487 We can give it a try, Katrina. Please have her send a DM our way with her flight information.",Hey @AmericanAir...My sister in law broke her foot while visiting her sister and is trying to get back from Virginia to Texas...Any way we can help her out to make her flight back more comfortable?? Please and Thank You!
30386,@124488 Awesome to hear. We love it when the #AATeam makes your travel experience the best ever!,@AmericanAir Much appreciation and thanks to #Leonardo at #MIA for superb customer experience. Highlights from our 10th anniversary trip. #refreshing #experience #servicewithasmile
30506,@124527 We strive to provide a seamless travel experience and apologize if that wasn't your experience. Please DM your record locator.,"@AmericanAir cancelled my flight twice, delayed me by a day, lost my bag, only offered me meal passes. Thought you could do better American."
30508,@124346 Our Lost and Found team would be in touch with you directly of any updates. Have they not? Please DM additional details.,"@AmericanAir Already filed a claim, and spoke to club said it was found and turned in. Any way to expedite this process? 30 days is crazy if found"
30510,@124528 You sure got us to chuckle! We're loving your #AAview even if the sun is hiding.,"Contrary to what I've been told, it is NOT always sunny in Philadelphia. @864 #BusinessTravel @AmericanAir https://t.co/A4BvXurIvC"
30513,@124347 We expect great service and big smiles for you as you board! We'll have everyone on and in the air shortly.,@AmericanAir gate agents finally arrive 1 minute before boarding flight 253 at LAX. Poor attitude &amp; unprepared by agents. Super unpleasant.
31174,"@124728 Meena is an #AAllstar! Please DM your record locator, we'd love to forward your praises.","Special tks to Meena  # 135428 from @AmericanAir, SERO office, #CKteam. Meena made possible the first Int'l flight of my 6 mos grandson!"
31989,"@124957 Cheers, it's a joy having you in the #fAAmily!",Today I turn two years working for this amazing company 😜 @AmericanAir https://t.co/g6ETWohIjq
31991,@124958 We know delays aren't fun and we do our best to avoid them if we can. What's your flight number? We'll get an update.,"Been sitting on this plane for over an hour. Not a great look, @AmericanAir.. 😐☹️👎"
31993,"@124958 We're showing it was delayed due to air traffic congestion, but that you're in the air now. Have a great flight!",@AmericanAir 4868
31995,@124959 Schedule changes may happen based on operational needs and fares are based on availability.,"@AmericanAir flight for Nov7 was cancelled and moved later that day. I did quick search, no available flights SJU-MIA until NOV 19. Cost is prohibitive https://t.co/5t9SjziosF"
31997,"@124959 We're closely working with the airport and monitoring conditions, Joe. We look forward to operating more flights in and out of SJU.","@AmericanAir @JetBlue still with limited flights out of @2324? No hotel rooms for crew, No radar? @124960 @124961"
31999,"@124962 What a coincidence, you're our fAAvorite too! Have a great flight!","Making a quick hop to MYR on my favorite carrier,  @AmericanAir https://t.co/Bq95mEXJma"
32004,@124964 What's your flight number and how can we help turn things around?,@AmericanAir Yes
32007,@124964 We'd rather keep you flying with us and assure you that our goal is to always provide a seamless travel experience. Are you flying today?,"@AmericanAir I may be done ...use you at least twice a month and delays , excuses and lies are getting old. Dumping my citi card as well"
32009,@124965 We know our #AATeam will take excellent care of you. We're looking forward to having you on board.,Haven't heard good things from US based airlines. Hope @AmericanAir are better than their competitors. still a bit sceptical
32489,@125116 You'd have to request the upgrade ahead of time so our agents can process the request for the upgrade.,@AmericanAir flight 1530 from CLT to BOS an empty 1st class seat and they wouldn’t upgrade a platinum member like me! Rather the seat stays empty #curious
32491,@125116 We're very sorry for the delayed departure.,"@AmericanAir Oh and we sat in the plane for over an hour, took off 45 min late without 1 announcement"
32819,"@125215 If we have room on board, our crew will let you hang it up. Congrats to you, Jostlin!",@AmericanAir over here trying to tell me I have to put my WEDDING DRESS UNDER a seat. Thank god for smart stuartists who are understanding.
32821,@125215 We're glad our team came through and resolve it. The only time there would be a charge is if you had a Basic Economy ticket.,"@AmericanAir Should inform your boarding crew about that. They tried to charge me $50 to hang it in the closet. 
But thank you anyways."
32823,@125216 A refund was sent for the online change to Main Cabin. We'd need to collect the difference to go back to Premium Economy.,"@AmericanAir @AmericanAir is trying really hard to sell me my original seat assignment, which they bumped me from, for $569. #wtf https://t.co/M6kqiTSanU"
32826,@125216 Please DM your record locator and what happened. We'll take a look at it for you.,@AmericanAir - Just paid $275 for a flight change for flight departure &amp; now being asked to pay $600 to maintain my original return #help
32828,"@125217 Please DM your record locator, we'll take a closer look.",@AmericanAir And you don't overbook your flights? So I'm guaranteed a seat on this flight?
32830,"@125217 Yes, you bought a seat, but if you choose not to select one in advance, we'll assign it upon arrival for free.",@AmericanAir And I'm guaranteed a seat on the day I travel if I don't pay for a seat assignment early?
32836,"@125219 Waiting around is never fun, our team will have you on your way just as quickly as they can.","Standing in a bus waiting to board at DCA, @AmericanAir leaves us here 20 minutes #morefunatarmybasictrainng"
32838,@125220 We offer a variety of fares and our Reservations team is also happy to help search with you! https://t.co/iJWiiS4WLg,@AmericanAir do you have a discount for broke college students going home for Christmas or am I not gonna afford textbooks next semester?
33705,@125468 We're looking forward to seeing you!,@AmericanAir Thanks! Heading to LGA in a few with fingers crossed🤞
33707,@125468 We know that a wedding dress is precious cargo and our crew will allow it to be placed in the First Class cabin if space is available.,"@AmericanAir This, after I called to inquire about carrying the gown when I booked the ticket and was told it would be no problem."
33710,@125469 Your time is important and we're sorry for the wait. We'll have you off and on your way as quickly as possible.,@AmericanAir #1 LA airline for what? Waiting on the plane after landing until a gate opens.
33713,"@125470 Paid seats are an option, never a requirement. We can always take a look at your reservation via DM.","This is garbage! @AmericanAir is making me pay for a seat, twice, once to buy it and a second time to confirm my flight! https://t.co/ZL5nf2sGXD"
33716,@125471 What a cutie pie!,Smuggling contraband on this @AmericanAir flight 😀 #stowaway https://t.co/pE7yVbAhNh
33718,"@125472 If free seats are no longer available, our airport team is happy to assist in assigning one the day.","@AmericanAir

Flew from STS on a 2/3 full flight.  Could not select a seat, forced to pay 33 dollars for a seat!

Nickel and diming America"
34395,@125669 Our pleasure! We love making your experience the best it can be from start to finish.,Thanks @AmericanAir for the #1stclass departure from @79432 #keywest #fantasyfest #luxurytravel ✈️ #traveloften #NEVERSTOPexploring https://t.co/xffzqNBWEV
34397,@125217 Our offer to take a look via DM stands.,@125670 @AmericanAir @Delta That's good to know! I'll fly Delta next time!
34399,@125217 Your record locator is your 6-letter confirmation code. You would first follow us and then send us a direct message with that info.,"@AmericanAir How do I DM my ""record locator""? Is that your account?"
35142,"@125891 We're very sorry for this situation. If we can help with rebooking options, then please let us know.",@AmericanAir For the 3rd time already if plane is delay in MIAMI for what ever reason automatically you missed your flight! Not caring much for the passengers destination 😡
35144,"@125892 We're so sorry this was your experience. Please let us know if we can help in some way, Tom.","@AmericanAir hate complaining on Twitter. But just the absolute worst customer service from Eduardo De La Olivia at MIA Flagship Lounge. 6 passengers flying full fare First - never again on your airline. No joke. Takes a lot to drive me to Delta, but this guy cracked the code."
35146,@125892 Please DM us the details of your experience.,"@AmericanAir How should I contact you? Will HAPPILY have this conversation over open Twitter, as I’d love nothing more than to public ally complain about a particularly rude guy. But also happy to actually describe issue offline  if helpful. You have the wrong fellow in the wrong job, I fear."
35153,@125896 We understand how tiring these long trips are and we'll have you in the air as soon as we can.,@AmericanAir I can’t be in an airport much longer.  I just got off a 15 hour flight from Hong Kong. 😹 I’m sleepy and hungry 🤭🙁
35157,@125897 We're not able to make calls here. Please work with our airport team for the next steps.,@AmericanAir Can you please call me? 314.952.7769
35160,"@125897 We're not always able to hold flights. Our airport team knows you're coming, and will do all possible to help you make your flight.","@AmericanAir @AmericanAir can you hold the plane?!? We are running to gate, on airline now from D"
35162,@125897 We'd be glad to review your trip details as soon as you land at your final destination. Please follow us and provide your locator via DM.,"@AmericanAir on AA81 LHR-DFW, how can I file a claim for compensation for this “seat map error”? And I believe we may miss our connecting flight as a result. (AA81 DFW-DEN)"
35375,"@124035 We're sorry for the wait, Victor. Your safety is our priority. We'll have you wheel's up and celebrating as soon as possible.",Going on a 3.5 hour delay with @AmericanAir due to mechanical issues. #delAAyed
35377,"@125960 What an AAwesome pic, we're so happy they took excellent care of you guys. Come back and see us again soon!","@AmericanAir @2596 @122242 Thanks to these ladies at AA in ATL, we got to NYC when Delta could not accommodate. https://t.co/WK37JCTP0j"
35379,@125961 We love you too and are happy you enjoyed the video!,"@AmericanAir Acabei de me apaixonar por essa companhia, e ficou muito bom esse vídeo com o menino com a camisa do Flamengo.
Mengoooooo!!!!"
35382,@125962 She's #AAmazing! We’ll be happy to share your kudos with them and the rest of our #AATeam.,@AmericanAir She is AWSOME!
35683,@126059 We're sorry for the extra wait time. We'll have you in the air as soon as we can and appreciate your patience.,Why do you delay my flight and then make me sit on the airplane while y’all finish getting stuff together. Ready to get home @AmericanAir
37073,@126470 We should have agents available to guide you on your rebooking options. Please DM your record locator and we'll take a peek.,@AmericanAir If you are going to cancel a flight it would be nice to have someone at the gate to let us know what to do. #TPA
37075,@126471 We're thrilled you're enjoying the flicks on your flight!,"Hey @americanair @116462 sweet in-flight movies! I,Robot! First Garfield Spiderman! Unfaithful! It's like having CVS $5 DVD bin right with me!"
37077,"@126471 You could always click here to see what's available during your flight, Chris. https://t.co/RcjsILm7Rc","@AmericanAir Thanks guys! Any chance to get Wild, Wild, West or some later Steven Seagal movies for the return trip? #livinginthepast"
37081,@126473 We're excited to be your ride through the skies today and look forward to many more #AAdventures!,Now all flights out are almost double what we paid months ago. Had to book with @AmericanAir last minute. Super helpful. Would recommend.
37086,"@126474 We see your DM, Brian. We'll reply to your comments there.",@AmericanAir https://t.co/JK7Kdjp13E
38114,"@126770 The cost to buy miles is preset and the chart is available here, Cristen: https://t.co/9zLqAIrtdx",@AmericanAir  customer service refused to help BAIT &amp; SWITCH
38117,"@126771 We'd rather keep you flying with us, Nia. How can we help you today?",So..... I’m late but I’m never flying @AmericanAir again....
38469,@126857 We always want you to be comfy and we're glad you're enjoying the extra leg room. Have an AAwesome flight!,I have actual leg room on this flight! I can cross &amp; uncross my legs without bashing them into the seat in front of me! HUZZAH! @AmericanAir https://t.co/jQ2sq7ssTm
39064,@124035 Our maintenance team is doing all possible to get you in the air. We appreciate your patience.,Now we are not departing until 1:30 PM.  How long before you just get us a new plane @AmericanAir ?  #delAAyed
39067,@127036 We're glad to hear our team is taking greAAt care of you. We'll pass along your kind words.,Huge thank you to the flight crew on @Americanair flight 2 who got beverages on the plane and even some snacks. In-air service is great.
39069,"@127037 Whoa, we're so sorry for any rudeness you encountered from our team. Please let us know how we can help turn things around.",thanks @AmericanAir for the worst service and most rude workers i have ever met:)
39071,"@127038 We do have One-Day passes available at many locations, take a look: https://t.co/uvGag9kIry","@AmericanAir HUGE DISAPPOINT! First Class Tickets, First Flights but no access to the Lounge?  Only Int’l flights? 1st time AA- never again"
39073,@127038 We're sorry to disappoint you but we always want to try and provide an option. We'll have you in San Francisco very soon.,@AmericanAir I’ve spent $2400 on First class ticket to San Fran and you want me to pay another $59 for the lounge??
39075,"@127038 Thanks for the feedback. Here's some info on our Admiral's Club access, Heath. https://t.co/uvGag9kIry","@AmericanAir If you sell First Class tickets you should allow access to the lounge. The staff onboard were great incidentally, but I still won’t fly AA"
39077,"@127039 We want your check in process to be as smooth as possible. We're very sorry for the wait, Cristina.",@AmericanAir cuál es el punto de hacer self check in para luego hacer una fila de hora y media para una asistencia que NO necesito
39081,"@127041 We know this isn't the day you had planned, but we're so happy our team is taking excellent care of you!","Delays suck, especially when they are mechanical. Kudos to @AmericanAir for the water and cookies. Makes the delay a bit more bearable!"
39083,"@127042 Sure, let us take a look. Please DM your record locator.","@AmericanAir I need to change an itinerary, but I'm not being given the option either online or in the app. Can you help?"
39895,@127258 Please DM your record locator with a follow. We'd like to have look into this.,@127259 @AmericanAir @2839
39901,@125219 We truly appreciate your patience and cooperation.,@AmericanAir onboard anncemt: “no working coffee maker or toilet on this aircraft. Have a nice flight.” #nexttimeAmtrak
39903,@127260 Anytime departure time is past the scheduled take off is considered a delay.,@AmericanAir just curious how late a plane had to be before it's marked as delayed??
39906,@127260 We're showing the incoming aircraft just arrived. You should be boarding very soon.,@AmericanAir it was supposed to take off at 1:35 EST
39908,"@127261 We do offer hummus for purchase, Darcy. We're always looking to improve our choices and quality in food selection.",@AmericanAir no gluten free options avail for purchase? Yikes. Any plans to take another look at food options? #hungrytraveler
39910,@127261 The menu on board states what snacks are gluten free. We also suggest the trail mix or fruit and cheese plate but share the crackers.,"@AmericanAir Yes, but the crackers have wheat flour now, they used to be gluten free"
39912,@127261 We appreciate your feedback and your loyalty!,"@AmericanAir Thank you... no snacks marked as gf on this flight menu, cheese plate is fine. Merely giving feedback as a soon to be plat pro freq flyer!"
40547,@127439 Check in needs to be complete at least 45 minutes prior to departure. Please see an agent for assistance.,@AmericanAir can’t board my flight now cause I was 5 minutes late into checking in my bag... can you help ?
40549,@127439 Bags can't be checked past the cut off time. Our team needs enough time to transfer your bags to the flight.,@AmericanAir Chit chatting for like a good 10 minutes. They could have boarded the bags if the previous worker said so.
40551,"@127440 Flights can vary, what day is this for?",@AmericanAir https://t.co/HvCDTcP5Q5 shows AA250 as a 32B (Airbus 321 - V2.)  I thought it was 32B Transcon with 1st and biz class.  ?? thx
40553,"@127440 There are 2 versions of the Airbus 321. We currently have 321S, and also the 321T. AA250 is, 321S, which is a 2 cabin plane.","@AmericanAir Thanksgiving day, 11/23."
40555,@122822 We're sorry your travels with us today aren't going as planned. We're finishing up now and should be airborne soon!,Update: @AmericanAir got us booked on another flight! Another flight with mechanical issues-sitting at the gate nearing an hour #how
40557,"@122822 Once you arrive at your destination, please follow and meet us in DMs, we'd like to send you a little something for your troubles.",@AmericanAir I boarded two AA planes that were not airworthy today. Sorry that my travels are not going well? Unacceptable. #noaadvantage #missmewiththat
40562,"@127441 Fares are based on availability too, so you may have to be flexible if all the lower ones are sold out already.",@AmericanAir That's a good initiative but $900+ to travel to Antigua and Barbuda is not low
40566,@127443 We do everything we can to make sure small children are seated next to their families.,@AmericanAir If I travel with a child in ¨Basic Economy¨can I be sure that the child seat would be beside mine?
40568,"@127443 Basic Economy offers lower fares and only one small carry-on. Regular fares offer one carry-on that fits in the bin, plus a personal item.",@AmericanAir So what is the difference in laggage between ¨Basic Economy¨ and Economy flights?
40570,"@127443 Yes, you can check a bag and those fees can be found here: https://t.co/XvGHnVVEv9. A carry-on is allowed under the seat in front of you.","@AmericanAir 
Can I have checked baggage on a Basic Economy fligh? Fees?
And in a Economy fligh? Fees?"
40572,"@127444 We don't want you left behind, Kimberly. Please follow and meet us in DMs with your record locator and we'll take a peek.",@AmericanAir I will NEVER fly with you again or forgive you
41754,@127788 Our team will be there to help! Thanks for your patience.,"Come on @AmericanAir get somebody to lower the skybridge, been sitting on this plane for 20 minutes waiting to get off!! #ridiculous"
41756,"@127789 We're not seeing any availability today. Please DM your record locator, so we can take a closer look.",@AmericanAir I am stuck in Miami because flights to GGT were cancelled. Called AA and no options to get to my resort. How will you help?
41758,"@127789 We're sorry for this. If you're not traveling and we can help with a refund, then please DM your record locator.",@AmericanAir Already had two phone calls with AA and nothing available. Gate agent said no flights for the remainder of the week
41760,"@127790 You're very nice, Ho Min. We'll take great care of your bag.","I can’t believe I gate checked a bag, just to be nice. @AmericanAir #EP #nice 😂😂😂😂😂"
41762,@127791 We have a flight leaving MSP at 4p connecting in PHL and arriving LHR at 7:45a. Would that work for you?,@AmericanAir Now pushed back to 5:40...! Will you be offering an alternative straight flight from MSP TODAY? This is totally unacceptable.
41764,"@127791 Awesome, please DM the record locator of the person you're traveling with so we can rebook you guys at the same time.",@AmericanAir Yes that would work. I am traveling with one other person. How should we go about this???
42514,@128007 We have you on your way now! We appreciate your patience today.,@AmericanAir Pilot slept in. Standby controls were broken. Made the layover! Plane has a missing part. Got the part. No cargo numbers? 😭
42518,@128009 You're more than welcome. Have a great day!,@AmericanAir Thanks for the info! ❤️
42520,"@128009 A reservation will need to be added for you pup, we can help with that. Here's link with more info about documents: https://t.co/c1YOFtZqfR",@AmericanAir what would i need to do to travel with my small dog on the cabin?
42522,"@128010 This isn't what we want to hear, what's going on?",So @AmericanAir SUCKS!! I had to buy a whole new ticket on @116450 to Mexico on something that should be so simple.
42524,@128010 We've flexible fares that allow changes to be made without a charge for situations like these. So sorry for any inconvenience this caused.,@AmericanAir I personally think charging someone 500 is OUTRAGEOUS
42526,@128010 Restricted tickets have a charge for any changes. We're sorry you didn't find an option that worked for you.,@AmericanAir I talked to 5 different people at American with no resolution. I talked to one united person and I have a flight.
42530,@127036 We're so sorry you had a rough start this morning! Can you please follow and DM us? We have some info we'd like to share.,@AmericanAir you’re really going to put a full plane to JFK with no food &amp; no drinks for 6 hrs?#madfeedingfreenzy
42532,@128011 We love our military and are happy to help any day!,Thank you @AmericanAir for working with this #navymom who’s sailors orders changed last min &amp; trip had to be cancelled #AAlovesmilitaryfam
42534,@128012 Scrappy is the cutest little Pilot pup! #readytofly,Halloween 2017 feat. Scrappy the Pilot Pup👨‍✈️ @AmericanAir where does he apply? https://t.co/5J8L9tCzYW
43073,@128175 We'll get you off the plane as fast as we can. Thanks for your patience today.,@AmericanAir think you can send maintenence to 3366 to fix our jet bridge? 10 minutes and still nobody to get us off the plane.
43075,"@128176 We do everything possible to avoid cancellations, our team makes sure you're updates as soon as they receive new information.",Don't fly @americanair they suck.  Knew flight was going to be canceled but didn't tell anyone until the last leg.  No help!
43078,"@128177 If an instrument fits into the overhead bin or underneath the seat, then customers may choose to bring this as their carry-on.","@AmericanAir why are guitars allowed? Packed flight at least 6 of them in overheads, it’s inconvenient to passengers and is causing a delay https://t.co/kDOhsUAkBK"
43080,@128177 This would be in place of their carry-on. More info can be found here: https://t.co/AqqDo7qAE3. A personal item can be brought in addition.,@AmericanAir As well as a carry on bag?
43084,@128178 We always want you to have an excellent experience when you fly with us and appreciate your feedback.,@AmericanAir I applaud your application of Prospect Theory as a student of business yet as a consumer I’d welcome more innovation on a better experience!
43086,@128179 We do our best to leave on time and apologize for your delay. We'll provide updates here: https://t.co/hSJ3SkyGEd,@AmericanAir late again
43090,@128181 We'd love for you to check them out. But you'll need to travel on those flights to get them.,@AmericanAir (literally I fly only once a year and it's a shorthaul to the midwest)
43093,"@123880 We see your DM, Lancy. We'll reply to your comments there.",@AmericanAir I had to go to Admiral club to get me back on the flight that I was taken off.
43096,"@128182 We're sorry this is how you're feeling, Jake. Please let us know if we can help in some way.",I'm already ready to hate @AmericanAir and nothing's happened yet
43099,@128183 It looks like we just pulled in and are good to go. Thanks for your patience.,Hmm @AmericanAir 588 at the gate and no  gate agents to meet it @ SJC ?
45150,@128753 We can take a look for you. Please DM your record locator.,"@AmericanAir I just switched to an earlier flight this evening.  Looked at app, not showing on upgrade list.  EXPlat.  Can you help?"
45154,@117055 We see that the departure wasn't taken and not canceled prior to the flight. Due to this your ticket is no longer valid.,"@AmericanAir Yes, you could not make me pay twice for the same ticket"
45156,"@117055 That's correct, if you don't take your flight in order, then the whole ticket is invalid. Our apologies for any misinformation given.",@AmericanAir &amp; now they are saying my return is cancelled &amp; I have to pay in full for the round trip ticket as well as a one way ticket back to dallas
45161,@117055 We've received your DM and we'll respond shortly.,@AmericanAir ✅ waiting for response
45165,"@128754 One way fares are typically more expensive, but our vouchers don't guarantee that it will cover the cost of a ticket.",@AmericanAir  Your Vouchers are NOT good for Travel to the US from the UK? That RT was $500. $2600 ONE WAY from US to UK? Voucher=worthless!
45167,"@128754 You can use your voucher towards the ticket and purchase the difference, Bill. Please contact Reservations at 800-433-7300. They can help.",@AmericanAir Typically more expensive? Try 10X more expensive. Won't cover the cost of a ticket? It can't be used TOWARDS the cost of the ticket!
45169,@128755 You can bring any delicious sandwich in your checked luggage and it'll be ready for you after the flight!,.Can you have Trader Joe’s Turkey Meatballs in your checked luggage @AmericanAir
45172,"@128756 We're very sorry for any rudeness, Nicholas. We always want your experience with our team to be great.",Watch out for the rude @AmericanAir supervisor at gate C25 at PHL. Unpleasant experience trying to get onto an earlier connecting flight.
45174,@128757 You'll need to continue working with our friends at Citibank. They can be reached by phone at 1-888-766-2484.,@117176 I just tried to upgrade my bronze @AmericanAir #aadvantage card from Bronze to Platinum. Told “not available” No reason. #crazy
45931,"@128963 As shared at check-in and purchase, you're not able to bring a carry-on. If you gate check it, then an extra $25 is added.","1/3 thanks @AmericanAir for always knowing just how to ruin someone's day. if your kiosk says you can check your bag @ gate, then there's no https://t.co/9RVLFFFLp7"
45933,@128963 You may not be able to bring a bag past security that wouldn't qualify as a carry-on bag on a Main Cabin ticket. Our apologies.,@AmericanAir that is not the least bit helpful. my intention was to pay the extra $25 at gate as the security line was long &amp; wanted to be timely.
45935,@128963 If you were on a Basic Economy ticket your bag still has to make the cut off time for bags.,@AmericanAir right. it was a carry on bag. it was a carry on bag i flew to miami w on @116450. it was a carry on bag i was going to check @ the gate.
46362,@129082 If a customer needs a little extra time to board please have them speak with our gate team immediately.,we haven't started boarding because the closet door in first class is broken. i feel like this is a prank @AmericanAir
46364,@129083 We see our team has rebooked you to the next available flight tomorrow morning. Our sincerest apologies for the delay.,@AmericanAir Let’s hope I don’t miss my goddaughter’s baptism in Buffalo tonight
46367,@129084 The baggage charges would apply to each direction you travel. We're sorry that you weren't aware of that.,"@AmericanAir  Today, double charged for a bag. I was told same day service would get a waiver on the 2nd fee. It is always something."
46369,@122130 We love our comfort food! Looks so #yummy.,The @AmericanAir Flagship Lounge is 🤩😍😎.  Look at these goodies! https://t.co/jxWRlox4y5
46371,"@129085 We expect our crew members to always be courteous and and attentive, Arden. We're sorry that was overlooked.",@AmericanAir Love it whn ur an EP and not fortunate to get upgrade and the FA don't acknowledge or offer a cocktail #worstprogram #noSOP
46373,@124527 We appreciate your patience while one of our specialists reviews this.,"But I guess I should feel lucky because they gave me food vouchers, right? @AmericanAir #jokes"
46948,@129251 We're sorry for the delayed start to your honeymoon. Let us know if you need help with rebooking and we'll take a look.,@AmericanAir - honeymoon delayed bc of a cancelled flight. Any help w/ the extra money we had to spend? #stuckindenver #wannabeinmexico
46950,@129251 Please follow and DM your record locator once your flight has completed. We'll take a look at your reservation.,"@AmericanAir We are rebooked for tomorrow (as long as nothing goes wrong there, too) but had to spend $350+ for hotel + waste 1 day of our all inclusive"
46952,@129251 We definitely don't want this to be your last trip with us and we'll have you in Mexico soon. We're following up in DM with more info.,"@AmericanAir Once my flight is completed, I’m going to finally enjoy my honeymoon. If there isn’t anything u can do now we won’t fly w/ u in the future."
46954,@129252 We're not trying to make it difficult since want you to be happy. Thanks for letting our team confirm.,"I loathe @AmericanAir 😠 
Always have. If my bag fits in one sizer, it fits in all of them. We don’t need to do this 4 times. #Relax #ItFits"
47606,@129456 We want to minimize the impact of delays to our customers. This is a quicker way to get rebooked.,Impressive new software on @AmericanAir gives you heads up of a possible misconnect and options for immediate rebooking at no charge.
47609,"@129457 What a great seatmate! We hope you have a great day, Christena.",Shared my flight with a #K9. Keep him and his handler in your thoughts and prayers as they head overseas. @AmericanAir you rock! https://t.co/XVQdg06HaP
47612,@129459 That's great to see our airport team in action while we're delayed. We'll do our best to have you in Vegas as early as possible!,"Unfortunately, my @AmericanAir flight➡️Philly➡️Vegas got delayed, thanx for rerouting &amp; providing me with this meal voucher though! 👏🏼 https://t.co/Yggctt72pK"
47614,@129460 We're so sorry this has been your experience. Please DM your record locator and let us know how we can help.,Yall always do some shit wrong @AmericanAir lol
48253,@129662 We've got your DMs and we'll respond there shortly!,"@AmericanAir Hi check your DM please, thank you"
48255,@118406 We're sorry that your bags didn't come off first. We'll let our airport leadership team know that this happened.,And let’s move it without announcements to the most crowded carousel @AmericanAir https://t.co/2uscEjmnZW
48904,"@129838 We'd like to take a look into that, Giliane. Please DM your record locator.",Be aware when buying @AmericanAir seats. Spent over 300 for them to have early boarding as stated in each of the seats I bought... lies :(
48909,@129843 We have several purchase options. Please check here: https://t.co/O6Fdx4Pk6T and let us know if you have any questions.,Fuck @AmericanAir and the monopoly major airlines have over smaller airlines. https://t.co/qQnpsRV4OB
48911,@129844 Our sincerest apologies for your delayed baggage. Please DM your bag file and we'll check on an update.,Thank you @AmericanAir for misplacing my bag. Almost 24 hours without all my stuff. Can’t believe I have to use side b of my underwear 🙁
48913,"@129845 We do like to shine for you, Gary. We're sorry for the wait. Let us know if you need any help. We're here for you.",@AmericanAir I will communicate directly.  You did not shine today.
49657,@130062 We expect our team to be professional and courteous at all times and we're very sorry for any rudeness. How can we help?,@AmericanAir is the worst airline is the entire world. Rude Customer Service and even ruder Supervisors. Avoid this airlines at all cost. @SouthwestAir kick AA Ass. #aasucks
